home_team,away_team,actual_total,minimum_line,sim_mean,hit_rate,cushion,hit_over
Chaminade,Boise St.,178,132.0,143.89810147188174,78.8,11.898101471881745,True
Rice,Oral Roberts,143,152.5,164.67126813795383,76.06,12.171268137953831,False
Robert Morris,UIC,162,133.5,145.44295831791277,89.8,11.942958317912769,True
Holy Cross,Worcester St.,130,135.0,146.9611371624922,76.52,11.961137162492207,False
Miami (OH),UNC Greensboro,153,134.0,146.09317251271239,68.01,12.093172512712385,True
Howard,St. Mary's (MD),176,134.0,145.98901873562122,69.63000000000001,11.989018735621215,True
FIU,Omaha,135,155.5,167.29520447016225,73.27,11.795204470162247,False
San Jose St.,Loyola Chicago,114,143.5,155.41767248660977,70.97,11.917672486609774,False
South Fla.,VCU,144,136.5,148.60934968872337,74.17,12.10934968872337,True
Arizona St.,Southern California,163,155.0,166.84953626116692,79.97999999999999,11.849536261166918,True
Bradley,Liberty,138,147.5,159.74752941385657,80.11,12.247529413856569,False
Valparaiso,Southern Ind.,120,143.0,155.00379817544624,88.85,12.003798175446235,False
UIW,Texas Lutheran,172,139.5,151.71135640135844,79.31,12.211356401358444,True
New Mexico St.,Georgia St.,135,140.5,152.48516190021226,85.06,11.985161900212262,False
North Dakota St.,Jacksonville St.,99,135.5,147.53345592258492,64.18,12.03345592258492,False
Houston,Notre Dame,122,136.5,148.54142362582772,85.07000000000001,12.041423625827719,False
Boston College,Harvard,133,139.0,150.79357501033564,73.8,11.793575010335644,False
Northern Ky.,Wofford,176,138.5,150.39741126989745,70.41,11.897411269897447,True
Mercer,App State,142,139.5,151.29018706830897,71.09,11.790187068308967,True
FDU,Army West Point,154,137.0,149.08780488490768,73.71,12.087804884907683,True
Cornell,Misericordia,184,145.0,156.79443710433895,71.55,11.794437104338954,True
Alabama,UNLV,191,171.5,183.5691798249594,74.13,12.069179824959406,True
Utah,Grand Canyon,126,148.5,160.69338847074823,81.62,12.193388470748232,False
Bryant,Mercy,148,144.0,155.81611021076563,81.28,11.816110210765629,True
VMI,Bowling Green,129,148.0,159.92761040931802,65.86999999999999,11.92761040931802,False
Troy,Saint Francis,138,148.0,159.8979686003262,68.82000000000001,11.897968600326209,False
Vanderbilt,Western Ky.,161,146.0,157.83052549013598,80.87,11.830525490135983,True
UC San Diego,Towson,160,141.0,152.88538197885168,71.13000000000001,11.885381978851683,True
Toledo,Belmont,159,156.5,168.49840989701104,81.55,11.998409897011044,True
Stonehill,UMass Lowell,139,145.0,157.11595448331917,76.9,12.115954483319172,False
New Hampshire,Brown,106,134.0,146.0380389305037,65.03999999999999,12.038038930503689,False
Texas Tech,New Orleans,132,152.5,164.34642040981038,77.73,11.846420409810378,False
Presbyterian,Columbia Int'l,143,142.5,154.556428961417,67.94,12.056428961416998,True
Iowa St.,Syracuse,159,150.5,162.57672686588649,87.64,12.076726865886485,True
Bucknell,Buffalo,144,146.5,158.566940380636,90.05,12.066940380635998,False
Gardner-Webb,Navy,135,135.5,147.3427584964221,76.74,11.842758496422107,False
Marshall,Lipscomb,157,148.0,159.88162218497405,77.73,11.881622184974049,True
Louisiana Tech,Indiana St.,148,138.0,150.00841623456208,72.84,12.008416234562077,True
UC Irvine,South Dakota St.,116,137.5,149.29097149501146,61.83,11.790971495011462,False
Texas Southern,Biblical Stud. (TX),146,137.0,149.24089517609303,74.28,12.240895176093034,True
Temple,Rhode Island,165,156.0,167.91862793105136,77.69,11.918627931051361,True
Northern Ariz.,Southeast Mo. St.,151,124.0,135.96247865517176,79.78,11.962478655171765,True
Memphis,Southern Ill.,132,148.0,160.21740371972882,81.07,12.217403719728821,False
Auburn,St. John's (NY),159,161.0,173.24664076544954,78.62,12.246640765449541,False
Wyoming,Denver,160,152.5,164.52976551912852,82.43,12.029765519128517,True
New Mexico,Alabama St.,180,150.0,161.93170635717735,84.13000000000001,11.931706357177347,True
Saint Mary's (CA),Wichita St.,135,142.0,153.86101698254183,75.27000000000001,11.861016982541827,False
Idaho,CSUN,142,138.5,150.74720065746564,74.62,12.24720065746564,True
Louisville,NJIT,151,154.0,165.76501235490198,79.01,11.765012354901984,False
Michigan,Gonzaga,162,154.0,166.08348088751086,72.17,12.08348088751086,True
Texas,NC State,199,140.0,151.9960515159931,72.33000000000001,11.996051515993088,True
Iowa,Grand Canyon,105,143.5,155.58810396969244,75.37,12.08810396969244,False
Portland,Long Beach St.,166,148.0,160.05805383919653,71.13000000000001,12.058053839196532,True
Tulsa,UNI,123,153.5,165.28793375384774,81.2,11.787933753847739,False
Fresno St.,Pepperdine,129,145.0,157.11242877621575,71.78999999999999,12.11242877621575,False
Sam Houston,Idaho St.,165,134.0,145.96578436259017,76.57000000000001,11.96578436259017,True
Duquesne,Central St. (OH),181,140.0,151.999578231571,80.95,11.999578231571007,True
Virginia Tech,Colorado St.,130,151.0,163.14697258867315,78.75,12.146972588673151,False
Manhattan,Wagner,204,151.0,163.20264054976494,69.93,12.202640549764936,True
Princeton,Vermont,153,146.5,158.47406294752523,77.58,11.974062947525226,True
Washington St.,Seton Hall,136,147.5,159.6749162082397,78.71000000000001,12.174916208239694,False
Air Force,Northern Colo.,124,128.5,140.6633770603111,76.14999999999999,12.163377060311092,False
Utah Valley,Samford,134,146.5,158.29898646635186,75.87,11.798986466351863,False
San Diego St.,Baylor,172,153.0,164.87650052204452,74.68,11.876500522044523,True
Tennessee,Kansas,157,143.0,154.89572556701094,83.2,11.895725567010942,True
UNCW,Southeastern La.,127,124.0,135.88619355310394,75.47,11.886193553103936,True
Fairfield,Columbia,183,151.5,163.65770585019058,69.98,12.157705850190581,True
Cincinnati,Eastern Mich.,120,130.0,142.12182313886186,74.03999999999999,12.121823138861856,False
FGCU,Kennesaw St.,202,142.0,153.92101299906716,82.49,11.921012999067159,True
Kentucky,Tennessee Tech,158,151.5,163.6210610837342,67.11,12.12106108373419,True
The Citadel,Houston Christian,137,146.5,158.69279003930689,72.69,12.192790039306885,False
Cleveland St.,Waynesburg,165,142.5,154.320771531118,71.39,11.820771531117998,True
Marist,Lehigh,133,134.0,146.0019704222674,72.78999999999999,12.00197042226739,False
Loyola Maryland,Washington Col.,152,149.0,160.89928186014393,73.06,11.89928186014393,True
George Washington,Murray St.,191,169.0,180.98230354478827,75.63,11.982303544788266,True
Oregon,San Diego St.,177,148.0,160.20277200760947,74.48,12.202772007609468,True
