date,home_team,away_team,actual_total,minimum_line,sim_mean,hit_rate,cushion,hit_over
2025-03-26,Loyola Chicago,Kent St.,134,134.5,146.7,75.0,12.2,False
2025-03-26,UC Irvine,UAB,158,146.5,158.3,78.8,11.8,True
2025-03-25,Oklahoma St.,North Texas,120,131.0,143.2,81.0,12.2,False
2025-03-25,Bradley,Chattanooga,132,149.0,160.9,78.7,11.9,False
2025-03-23,UC Irvine,Jacksonville St.,127,133.5,145.4,78.8,11.9,False
2025-03-23,Stanford,Kent St.,152,136.5,148.7,77.2,12.2,True
2025-03-23,San Francisco,Loyola Chicago,153,137.0,149.2,76.4,12.2,True
2025-03-23,Santa Clara,UAB,172,157.0,169.1,72.8,12.1,True
2025-03-23,North Texas,Arkansas St.,128,133.5,145.5,78.9,12.0,False
2025-03-23,SMU,Oklahoma St.,168,147.0,158.8,79.4,11.8,True
2025-03-22,Chattanooga,Dayton,159,153.0,165.1,84.2,12.1,True
2025-03-22,George Mason,Bradley,142,130.5,142.3,77.6,11.8,True
2025-03-19,North Texas,Furman,139,132.5,144.3,81.6,11.8,True
2025-03-19,SMU,Northern Iowa,136,142.5,154.3,81.7,11.8,False
2025-03-19,UC Irvine,Northern Colorado,154,142.0,153.8,76.3,11.8,True
2025-03-19,San Francisco,Utah Valley,149,138.0,150.1,78.0,12.1,True
2025-03-19,George Mason,Samford,155,140.0,151.9,75.3,11.9,True
2025-03-19,San Jose St.,Loyola Chicago,143,138.0,150.2,75.5,12.2,True
2025-03-19,Saint Joseph's,UAB,134,151.0,163.2,84.5,12.2,False
2025-03-19,Bradley,North Alabama,133,143.0,155.0,78.0,12.0,False
2025-03-19,Florida Atlantic,Dayton,165,151.5,163.7,80.4,12.2,True
2025-03-18,Middle Tennessee,Chattanooga,212,150.5,162.6,80.0,12.1,True
2025-03-18,Santa Clara,UC Riverside,163,150.5,162.6,71.8,12.1,True
2025-03-18,St. Bonaventure,Kent St.,131,128.0,139.9,77.4,11.9,True
2025-03-18,Oklahoma St.,Wichita St.,168,142.0,153.9,78.3,11.9,True
2025-03-18,Georgia Tech,Jacksonville St.,145,136.5,148.5,79.1,12.0,True
2025-03-18,Arkansas St.,Saint Louis,181,145.5,157.5,78.8,12.0,True
2025-03-18,Stanford,Cal St. Northridge,157,146.5,158.6,79.3,12.1,True
2025-03-15,Bryant,Maine,138,137.0,149.2,81.2,12.2,True
2025-03-12,American,Navy,126,134.5,146.7,78.6,12.2,False
2025-03-11,Bryant,Albany,169,148.5,160.5,79.1,12.0,True
2025-03-11,Central Connecticut,Saint Francis,89,130.5,142.3,79.8,11.8,False
2025-03-11,Vermont,Maine,99,122.5,134.4,84.4,11.9,False
2025-03-09,Nebraska,Iowa,151,152.5,164.7,70.8,12.2,False
2025-03-09,Temple,North Texas,127,138.0,149.9,79.4,11.9,False
2025-03-09,American,Colgate,134,138.0,150.0,78.3,12.0,False
2025-03-09,Bucknell,Navy,160,140.0,152.0,75.7,12.0,True
2025-03-09,Washington,Oregon,153,143.0,154.8,82.1,11.8,True
2025-03-09,Tulane,UAB,153,153.5,165.5,82.0,12.0,False
2025-03-09,Lipscomb,North Alabama,141,143.5,155.4,77.7,11.9,False
2025-03-09,Charlotte,UTSA,163,146.0,158.2,81.6,12.2,True
2025-03-09,Wichita St.,Tulsa,136,138.0,149.8,74.6,11.8,False
2025-03-09,Michigan St.,Michigan,141,138.0,149.8,75.9,11.8,True
2025-03-09,Rutgers,Minnesota,142,141.5,153.3,81.0,11.8,True
2025-03-09,Florida Atlantic,East Carolina,134,149.0,161.2,79.1,12.2,False
2025-03-08,Pittsburgh,Boston College,160,141.5,153.3,76.3,11.8,True
2025-03-08,Louisiana Tech,UTEP,134,137.5,149.4,82.4,11.9,False
2025-03-08,Albany,Binghamton,135,140.0,152.2,80.7,12.2,False
2025-03-08,Connecticut,Seton Hall,131,130.5,142.4,78.5,11.9,True
2025-03-08,Central Connecticut,Fairleigh Dickinson,148,129.5,141.3,76.0,11.8,True
2025-03-08,Middle Tennessee,FIU,134,134.5,146.5,82.7,12.0,False
2025-03-08,Bethune Cookman,Florida A&M,151,141.5,153.7,79.9,12.2,True
2025-03-08,Tarleton St.,Utah Valley,137,125.5,137.7,83.2,12.2,True
2025-03-08,Florida St.,SMU,145,145.5,157.5,79.4,12.0,False
2025-03-08,Rhode Island,Fordham,153,153.0,165.1,77.4,12.1,False
2025-03-08,San Jose St.,Fresno St.,160,141.5,153.6,73.3,12.1,True
2025-03-08,BYU,Utah,159,152.5,164.4,81.4,11.9,True
2025-03-08,Creighton,Butler,161,152.0,163.9,86.8,11.9,True
2025-03-08,Georgia,Vanderbilt,147,146.5,158.3,79.2,11.8,True
2025-03-08,Saint Louis,Duquesne,178,137.0,149.0,83.4,12.0,True
2025-03-08,North Carolina,Duke,151,152.0,163.9,75.4,11.9,False
2025-03-08,Saint Peter's,Canisius,132,132.0,143.8,76.1,11.8,False
2025-03-08,Manhattan,Siena,144,149.0,160.8,80.5,11.8,False
2025-03-08,Clemson,Virginia Tech,112,134.0,146.0,81.9,12.0,False
2025-03-08,Harvard,Dartmouth,124,133.5,145.6,79.0,12.1,False
2025-03-08,Long Beach St.,Cal Poly,152,152.0,164.1,78.3,12.1,False
2025-03-08,Syracuse,Virginia,154,139.5,151.6,78.2,12.1,True
2025-03-08,Cornell,Columbia,181,165.5,177.6,81.5,12.1,True
2025-03-08,Oklahoma St.,Cincinnati,145,136.0,147.8,75.4,11.8,True
2025-03-08,Richmond,George Mason,124,127.0,139.0,77.7,12.0,False
2025-03-08,Notre Dame,California,222,142.0,153.8,75.8,11.8,True
2025-03-08,Louisville,Stanford,116,143.5,155.3,79.0,11.8,False
2025-03-08,Utah Tech,Seattle,135,135.5,147.6,77.6,12.1,False
2025-03-08,Indiana,Ohio St.,126,142.0,154.2,77.8,12.2,False
2025-03-08,Mississippi Valley St.,Jackson St.,128,132.5,144.7,73.2,12.2,False
2025-03-08,DePaul,Georgetown,160,139.5,151.4,78.6,11.9,True
2025-03-08,Cal St. Fullerton,UC Riverside,123,140.0,152.2,77.7,12.2,False
2025-03-08,Massachusetts,Loyola Chicago,125,138.5,150.7,72.2,12.2,False
2025-03-08,Wisconsin,Penn St.,161,150.0,162.2,78.2,12.2,True
2025-03-08,Texas,Oklahoma,148,149.0,161.1,79.5,12.1,False
2025-03-08,Mount St. Mary's,Marist,114,127.5,139.4,77.7,11.9,False
2025-03-08,Arkansas,Mississippi St.,185,144.0,155.9,80.3,11.9,True
2025-03-08,Florida,Mississippi,161,151.0,163.0,80.7,12.0,True
2025-03-08,Arizona St.,Texas Tech,142,148.5,160.7,73.4,12.2,False
2025-03-08,Prairie View A&M,Texas Southern,148,138.5,150.5,75.2,12.0,True
2025-03-08,Miami FL,N.C. State,142,147.5,159.6,74.0,12.1,False
2025-03-08,San Diego St.,Nevada,141,132.0,144.0,79.1,12.0,True
2025-03-08,LSU,Texas A&M,118,135.0,147.2,79.2,12.2,False
2025-03-08,Vermont,New Hampshire,121,128.0,139.8,79.3,11.8,False
2025-03-08,Sam Houston St.,New Mexico St.,145,138.5,150.4,77.3,11.9,True
2025-03-08,Rider,Niagara,153,140.5,152.4,81.8,11.9,True
2025-03-08,Davidson,St. Bonaventure,125,133.0,145.1,82.2,12.1,False
2025-03-08,Fairfield,Quinnipiac,157,139.5,151.6,80.9,12.1,True
2025-03-08,Colorado,TCU,132,129.5,141.6,78.5,12.1,True
2025-03-08,UC Santa Barbara,UC Irvine,185,136.0,148.0,77.2,12.0,True
2025-03-08,UC Davis,UC San Diego,125,130.0,141.9,80.2,11.9,False
2025-03-08,Wake Forest,Georgia Tech,112,133.5,145.4,77.2,11.9,False
2025-03-08,Western Kentucky,Liberty,151,138.5,150.4,78.5,11.9,True
2025-03-08,Cal Baptist,UT Arlington,138,142.5,154.5,80.1,12.0,False
2025-03-08,Abilene Christian,Grand Canyon,163,134.5,146.3,83.0,11.8,True
2025-03-08,UCLA,USC,153,141.5,153.6,79.1,12.1,True
2025-03-08,Cal St. Northridge,Hawaii,155,143.0,155.1,82.1,12.1,True
2025-03-08,Baylor,Houston,126,134.0,146.1,74.6,12.1,False
2025-03-08,La Salle,Saint Joseph's,155,141.0,152.8,80.7,11.8,True
2025-03-08,Kansas St.,Iowa St.,130,135.5,147.5,78.8,12.0,False
2025-03-08,Maryland,Northwestern,135,137.0,149.1,81.0,12.1,False
2025-03-08,LIU,Saint Francis,139,128.0,140.2,80.3,12.2,True
2025-03-08,Bryant,UMBC,159,158.0,170.1,79.7,12.1,True
2025-03-08,Kansas,Arizona,159,147.5,159.5,73.5,12.0,True
2025-03-08,Maine,UMass Lowell,136,141.5,153.4,80.1,11.9,False
