rank,team,conference,record,adj_o,adj_o_rank,adj_d,adj_d_rank,barthag,barthag_rank,efg_pct,efg_pct_d,to_pct,to_pct_d,conf_record,sos,raw_o,raw_d,adj_o_no_opp,adj_d_no_opp,off_ftrate,def_ftrate,adj_tempo,est_ppg,est_opp_ppg,est_total,wins,losses,games
1,Michigan,B10,9-0,124.00966839322314,6,88.10467479822435,1,0.9807553568815727,1,27.88952359651684,3.1104764034831605,17.255936357126277,2.7440636428737237,1-0,0.7207555759058942,113.9107190693228,102.78188037686137,115.6801768090345,100.90215684849258,125.17907806715584,84.03225876844942,73.93924197663742,91.6918087876909,65.14392869178859,156.8357374794795,9,0,9
2,Duke,ACC,10-0,121.69606501995347,12,92.05864035766321,4,0.9611961978790268,2,26.657889625117267,4.342110374882735,14.580713411090873,3.4192865889091295,0-0,0.5452635798110673,108.17611710785732,104.34222214754448,112.65570325454934,101.35579509112257,121.20685987428524,89.70757016600041,68.44450849502392,83.29427356069189,63.00908392000432,146.3033574806962,10,0,10
3,Gonzaga,WCC,9-1,122.06563018805679,10,93.20951319385442,6,0.956960928682765,3,27.832219331326055,3.1677806686739487,16.26974098293326,1.7302590170667407,0-0,0.6279040433551054,111.94838984053362,104.1557997525287,109.99142720509126,104.81176786435422,123.54967370951765,93.55476283379892,71.49360337800046,87.26911750750611,66.63883967337928,153.90795718088538,9,1,10
4,Houston,B12,8-1,118.74032965602402,31,90.9778360411199,2,0.955328327971965,4,25.191637336582197,5.8083626634178,13.587066231506201,4.412933768493798,0-0,0.5787233635559441,109.5346892816407,105.54960015546061,112.85425807870377,102.34245700233735,126.93020394145935,102.65702971811514,64.03987618056298,76.04116008811009,58.262093552488786,134.30325364059888,8,1,9
5,Iowa St.,B12,9-0,121.99095254088022,11,93.89815397148818,7,0.9530223229044389,5,26.16856137733782,4.831438622662168,13.398599253109825,4.6014007468901745,0-0,0.5319091283765659,108.66908173155952,106.39898005625204,112.61893266997845,103.04496711118499,133.28737788576615,92.4161349607855,70.59453039270299,86.11894006781957,66.28696084358928,152.40590091140885,9,0,9
6,Connecticut,BE,9-1,122.46127028230609,8,94.26467629483932,9,0.9529976713526531,6,26.332906513835784,4.667093486164221,16.458690862683795,3.541309137316204,0-0,0.5838065621531288,109.83149736062349,103.24907575229864,112.6207259230064,102.41024956251421,122.82196362012527,91.13375504617689,66.29320689523605,81.1835032747834,62.491076885262366,143.67458016004576,9,1,10
7,Vanderbilt,SEC,9-0,127.04566855230811,1,98.33088412693914,32,0.9500929359487904,7,25.37008894138687,5.629911058613123,12.97475345216809,5.025246547831912,0-0,0.5510254970112685,108.41181262971126,105.86261806044473,113.41149935914643,102.15349891115616,141.4669239703707,99.22722191180269,70.88642760109894,90.05813585866403,69.70325098616321,159.76138684482726,9,0,9
8,Arizona,B12,8-0,121.40750930499956,14,94.54204484710704,11,0.9466594655559015,8,25.10654824249912,5.893451757500889,12.86843917461542,5.131560825384581,0-0,0.5745107067443816,110.92982048820164,104.8219632027542,113.81714797317699,101.56775659501534,124.75717359690364,90.5083063953734,72.2555355343343,87.72364602722419,68.3118608093877,156.0355068366119,8,0,8
9,Michigan St.,B10,8-1,117.97619559364021,36,92.00968984985914,3,0.9457704140644223,9,23.99833302420196,7.001666975798041,14.1047875130155,5.895212486984501,1-0,0.6441184042937146,111.87615466976166,103.26784889286007,114.9555780924246,102.21201673228792,121.62475764558533,87.12664833890292,65.97372658187068,77.83329271264115,60.70222121037329,138.53551392301443,8,1,9
10,Illinois,B10,8-2,124.1596377081979,4,97.13313577738074,20,0.9439105688476868,10,23.287329121262374,7.71267087873763,14.564360500113175,5.435639499886826,1-0,0.6197735360068753,112.31563506465616,104.10524052391911,114.36312250139987,101.83527244009122,122.76705764821732,97.84129507398757,68.75986948954898,85.37200484685373,66.7886173916334,152.16062223848712,8,2,10
