date,commence_time,away_team,home_team,standard_total,minimum_total,maximum_total,hit_rate,sim_mean,cushion,tier,tier_label,category,bet_size,qualified
2025-12-01,2025-12-02T03:00:00Z,Portland Pilots,Stanford Cardinal,156.5,144.5,168.5,77.9,161.8,17.3,0,NO BET,NO,0%,False
2025-12-01,2025-12-02T00:30:00Z,McNeese Cowboys,Incarnate Word Cardinals,144.5,132.5,156.5,74.8,152.1,19.6,0,NO BET,NO,0%,False
2025-12-01,2025-12-02T00:00:00Z,St. Francis (PA) Red Flash,Xavier Musketeers,151.5,139.5,163.5,67.6,147.2,7.7,0,NO BET,NO,0%,False
2025-12-01,2025-12-02T00:00:00Z,Tarleton State Texans,Cincinnati Bearcats,146.5,134.5,158.5,64.0,141.2,6.7,0,NO BET,NO,0%,False
2025-12-01,2025-12-01T17:00:00Z,South Carolina St Bulldogs,Chicago St Cougars,153.5,141.5,165.5,60.4,145.3,3.8,0,NO BET,NO,0%,False
2025-12-01,2025-12-02T01:00:00Z,Bowling Green Falcons,Kansas St Wildcats,159.5,147.5,171.5,59.0,153.0,5.5,0,NO BET,NO,0%,False
2025-12-01,2025-12-01T23:30:00Z,Temple Owls,Villanova Wildcats,148.5,136.5,160.5,100.0,167.6,31.1,1,🔒 TIER 1 - LOCK (100%),LOCK,Heavy (5%),True
2025-12-01,2025-12-03T00:00:00Z,Tennessee Volunteers,Syracuse Orange,149.5,137.5,161.5,99.0,160.1,22.6,1,🔒 TIER 1 - LOCK (100%),LOCK,Heavy (5%),True
2025-12-01,2025-12-03T01:00:00Z,Purdue Boilermakers,Rutgers Scarlet Knights,144.5,132.5,156.5,97.6,159.1,26.6,2,✅ TIER 2 - SAFE (88.9%),SAFE,Normal (3%),True
2025-12-01,2025-12-03T02:00:00Z,Missouri Tigers,Notre Dame Fighting Irish,148.5,136.5,160.5,97.1,161.9,25.4,2,✅ TIER 2 - SAFE (88.9%),SAFE,Normal (3%),True
2025-12-01,2025-12-02T02:00:00Z,Cal Baptist Lancers,Colorado Buffaloes,147.5,135.5,159.5,96.0,159.1,23.6,2,✅ TIER 2 - SAFE (88.9%),SAFE,Normal (3%),True
2025-12-01,2025-12-03T00:00:00Z,Iowa Hawkeyes,Michigan St Spartans,135.5,123.5,147.5,95.7,159.2,35.7,2,✅ TIER 2 - SAFE (88.9%),SAFE,Normal (3%),True
2025-12-01,2025-12-02T00:00:00Z,Iona Gaels,Delaware Blue Hens,156.5,144.5,168.5,94.9,168.7,24.2,2,✅ TIER 2 - SAFE (88.9%),SAFE,Normal (3%),True
2025-12-01,2025-12-02T00:00:00Z,North Alabama Lions,Jacksonville St Gamecocks,135.5,123.5,147.5,88.2,169.6,46.1,3,🟢 TIER 3 - YES (84.6%),YES,Light (2%),True
2025-12-01,2025-12-03T00:30:00Z,Florida Gators,Duke Blue Devils,155.5,143.5,167.5,86.1,160.1,16.6,4,🟡 MAYBE - Caution,MAYBE,Track only (1%),False
2025-12-01,2025-12-02T00:00:00Z,West Georgia Wolves,Troy Trojans,149.5,137.5,161.5,82.9,167.2,29.7,4,🟡 MAYBE - Caution,MAYBE,Track only (1%),False
2025-12-01,2025-12-02T00:30:00Z,UAB Blazers,Middle Tennessee Blue Raiders,155.5,143.5,167.5,81.5,160.5,17.0,4,🟡 MAYBE - Caution,MAYBE,Track only (1%),False
2025-12-01,2025-12-03T02:30:00Z,North Carolina Tar Heels,Kentucky Wildcats,159.5,147.5,171.5,80.8,163.3,15.8,4,🟡 MAYBE - Caution,MAYBE,Track only (1%),False
2025-12-01,2025-12-03T02:00:00Z,UConn Huskies,Kansas Jayhawks,140.5,128.5,152.5,80.2,143.7,15.2,4,🟡 MAYBE - Caution,MAYBE,Track only (1%),False
