date,game_time,away_team,home_team,standard_total,maximum_total,under_hit_rate,sim_mean,cushion,tier,tier_label,reason
2025-11-29,2025-11-30T00:00:00Z,Milwaukee Panthers,Akron Zips,169.5,181.5,80.0,167.1,14.4,1,🔒 TIER 1 - BEST (91.4%),QUALIFIED - 🔒 TIER 1 - BEST (91.4%)
2025-11-29,2025-11-29T19:00:00Z,Morehead St Eagles,IUPUI Jaguars,182.5,194.5,100.0,135.9,58.6,0,NO BET,HIT_RATE_TOO_HIGH (100.0% > 90% - paradoxically worse)
2025-11-29,2025-11-29T22:00:00Z,Pepperdine Waves,CSU Fullerton Titans,160.5,172.5,96.3,142.7,29.8,0,NO BET,HIT_RATE_TOO_HIGH (96.3% > 90% - paradoxically worse)
2025-11-29,2025-11-29T21:00:00Z,UMKC Kangaroos,Weber State Wildcats,153.5,165.5,91.5,142.0,23.5,0,NO BET,HIT_RATE_TOO_HIGH (91.5% > 90% - paradoxically worse)
2025-11-29,2025-11-29T05:06:46Z,North Dakota Fighting Hawks,Hawai'i Rainbow Warriors,152.5,164.5,89.1,143.0,21.5,0,NO BET,SIM_MEAN_TOO_LOW (143.0 < 155)
2025-11-29,2025-11-29T21:00:00Z,Howard Bison,Mt. St. Mary's Mountaineers,147.5,159.5,82.9,143.5,16.0,0,NO BET,SIM_MEAN_TOO_LOW (143.5 < 155)
2025-11-29,2025-11-29T17:00:00Z,Bethune-Cookman Wildcats,Indiana Hoosiers,149.5,161.5,79.2,147.7,13.8,0,NO BET,BLOWOUT_RISK
2025-11-29,2025-11-29T18:00:00Z,Boston Univ. Terriers,Northern Kentucky Norse,148.5,160.5,78.4,147.1,13.4,0,NO BET,HIT_RATE_TOO_LOW (78.4% < 80%)
2025-11-29,2025-11-29T21:00:00Z,South Carolina St Bulldogs,Winthrop Eagles,159.5,171.5,78.1,158.4,13.1,0,NO BET,HIT_RATE_TOO_LOW (78.1% < 80%)
2025-11-29,2025-11-29T19:00:00Z,Western Carolina Catamounts,High Point Panthers,161.5,173.5,77.8,160.6,12.9,0,NO BET,HIT_RATE_TOO_LOW (77.8% < 80%)
2025-11-29,2025-11-29T19:00:00Z,Tennessee Tech Golden Eagles,Georgia Bulldogs,158.5,170.5,76.7,158.1,12.4,0,NO BET,HIT_RATE_TOO_LOW (76.7% < 80%)
2025-11-29,2025-11-29T21:00:00Z,Norfolk St Spartans,Arizona Wildcats,147.5,159.5,76.0,147.5,12.0,0,NO BET,BLOWOUT_RISK
2025-11-29,2025-11-29T22:00:00Z,Wofford Terriers,Eastern Kentucky Colonels,158.5,170.5,75.3,158.9,11.6,0,NO BET,HIT_RATE_TOO_LOW (75.3% < 80%)
2025-11-29,2025-11-30T03:00:00Z,Sacramento St Hornets,Pacific Tigers,146.5,158.5,75.3,147.0,11.5,0,NO BET,HIT_RATE_TOO_LOW (75.3% < 80%)
2025-11-29,2025-11-29T21:00:00Z,Mercer Bears,Elon Phoenix,162.5,174.5,72.8,164.2,10.3,0,NO BET,HIT_RATE_TOO_LOW (72.8% < 80%)
2025-11-29,2025-11-29T19:00:00Z,South Carolina Upstate Spartans,Nebraska Cornhuskers,158.5,170.5,71.6,161.0,9.5,0,NO BET,HIT_RATE_TOO_LOW (71.6% < 80%)
2025-11-29,2025-11-29T18:00:00Z,VMI Keydets,UCF Knights,160.5,172.5,69.5,163.9,8.6,0,NO BET,HIT_RATE_TOO_LOW (69.5% < 80%)
2025-11-29,2025-11-29T19:00:00Z,Houston Christian Huskies,Georgia Southern Eagles,149.5,161.5,68.9,153.1,8.4,0,NO BET,HIT_RATE_TOO_LOW (68.9% < 80%)
2025-11-29,2025-11-29T20:00:00Z,Lipscomb Bisons,SE Missouri St Redhawks,152.5,164.5,63.7,158.5,6.0,0,NO BET,HIT_RATE_TOO_LOW (63.7% < 80%)
2025-11-29,2025-11-29T21:00:00Z,Air Force Falcons,South Dakota Coyotes,150.5,162.5,63.7,156.6,5.9,0,NO BET,HIT_RATE_TOO_LOW (63.7% < 80%)
2025-11-29,2025-11-29T23:00:00Z,Sacred Heart Pioneers,Penn State Nittany Lions,160.5,172.5,62.4,167.3,5.2,0,NO BET,HIT_RATE_TOO_LOW (62.4% < 80%)
2025-11-29,2025-11-29T20:00:00Z,Western Michigan Broncos,Valparaiso Beacons,146.5,158.5,59.3,154.5,4.0,0,NO BET,HIT_RATE_TOO_LOW (59.3% < 80%)
2025-11-29,2025-11-29T19:00:00Z,Dartmouth Big Green,Saint Peter's Peacocks,143.5,155.5,57.4,152.5,3.0,0,NO BET,HIT_RATE_TOO_LOW (57.4% < 80%)
2025-11-29,2025-11-29T19:00:00Z,Southern Jaguars,Northwestern St Demons,146.5,158.5,56.1,155.8,2.7,0,NO BET,BLOWOUT_RISK
2025-11-29,2025-11-29T21:00:00Z,Central Arkansas Bears,East Tennessee St Buccaneers,144.5,156.5,55.7,153.9,2.6,0,NO BET,HIT_RATE_TOO_LOW (55.7% < 80%)
2025-11-29,2025-11-29T18:00:00Z,Detroit Mercy Titans,Niagara Purple Eagles,143.5,155.5,54.0,153.8,1.7,0,NO BET,HIT_RATE_TOO_LOW (54.0% < 80%)
2025-11-29,2025-11-29T18:00:00Z,Manhattan Jaspers,Army Knights,156.5,168.5,52.9,167.4,1.1,0,NO BET,HIT_RATE_TOO_LOW (52.9% < 80%)
2025-11-29,2025-11-29T19:00:00Z,Bryant Bulldogs,Harvard Crimson,140.5,152.5,51.6,151.8,0.7,0,NO BET,HIT_RATE_TOO_LOW (51.6% < 80%)
2025-11-29,2025-11-29T19:00:00Z,James Madison Dukes,George Mason Patriots,142.5,154.5,49.7,154.6,-0.1,0,NO BET,HIT_RATE_TOO_LOW (49.7% < 80%)
2025-11-29,2025-11-29T21:00:00Z,Montana St Bobcats,Utah State Aggies,148.5,160.5,47.9,161.5,-1.0,0,NO BET,HIT_RATE_TOO_LOW (47.9% < 80%)
2025-11-29,2025-11-29T22:00:00Z,UC Riverside Highlanders,Utah Tech Trailblazers,145.5,157.5,47.2,158.8,-1.3,0,NO BET,HIT_RATE_TOO_LOW (47.1% < 80%)
2025-11-29,2025-11-30T00:00:00Z,Arkansas-Little Rock Trojans,Southern Illinois Salukis,143.5,155.5,47.2,156.7,-1.2,0,NO BET,HIT_RATE_TOO_LOW (47.2% < 80%)
2025-11-29,2025-11-30T03:00:00Z,Cal Baptist Lancers,Oregon St Beavers,137.5,149.5,41.5,153.2,-3.7,0,NO BET,HIT_RATE_TOO_LOW (41.5% < 80%)
2025-11-29,2025-11-29T19:00:00Z,Delaware St Hornets,UMBC Retrievers,142.5,154.5,35.5,160.7,-6.2,0,NO BET,BLOWOUT_RISK
2025-11-29,2025-11-29T23:00:00Z,Buffalo Bulls,Canisius Golden Griffins,140.5,152.5,33.1,159.9,-7.4,0,NO BET,HIT_RATE_TOO_LOW (33.1% < 80%)
