game_time,away_team,home_team,standard_total,minimum_total,decision,hit_rate,sim_mean,sim_range,data_quality,status,result,actual_total,date_added
16:00,Richmond Spiders,Furman Paladins,145.5,133.5,YES,95.2,160.0,111-214,high,PENDING,,0,2025-11-27
17:00,St. Bonaventure Bonnies,East Carolina Pirates,143.5,131.5,NO,77.7,142.9,94-193,high,PENDING,,0,2025-11-27
17:00,Vanderbilt Commodores,VCU Rams,160.5,147.5,YES,98.5,181.7,126-241,high,PENDING,,0,2025-11-27
18:30,Charlotte 49ers,Illinois St Redbirds,138.5,126.5,YES,90.4,149.3,91-207,high,PENDING,,0,2025-11-27
19:00,Colorado Buffaloes,San Francisco Dons,150.5,138.5,YES,98.8,170.8,122-213,high,PENDING,,0,2025-11-27
19:00,Oregon Ducks,Creighton Bluejays,151.5,139.5,NO,58.5,142.9,96-191,high,PENDING,,0,2025-11-27
19:30,Virginia Tech Hokies,Saint Mary's Gaels,144.5,132.5,YES,98.7,168.3,114-227,high,PENDING,,0,2025-11-27
20:00,TCU Horned Frogs,Florida Gators,155.5,144.5,YES,91.3,168.8,114-233,high,PENDING,,0,2025-11-27
21:30,UNLV Rebels,Rutgers Scarlet Knights,151.5,139.5,NO,79.6,153.8,100-207,high,PENDING,,0,2025-11-27
21:30,Nevada Wolf Pack,Washington Huskies,144.5,132.5,YES,97.2,154.2,110-185,low,PENDING,,0,2025-11-27
21:30,Michigan St Spartans,North Carolina Tar Heels,151.5,139.5,YES,98.6,177.3,109-235,high,PENDING,,0,2025-11-27
22:00,BYU Cougars,Miami Hurricanes,164.5,152.5,YES,91.2,175.3,120-235,high,PENDING,,0,2025-11-27
22:30,Providence Friars,Wisconsin Badgers,164.5,153.5,YES,93.5,177.3,123-234,high,PENDING,,0,2025-11-27
22:30,Western Kentucky Hilltoppers,South Florida Bulls,166.5,155.5,NO,49.1,154.9,111-202,high,PENDING,,0,2025-11-27
00:00,Saint Louis Billikens,Santa Clara Broncos,159.5,147.5,YES,94.0,173.4,118-232,high,PENDING,,0,2025-11-27
00:30,Georgetown Hoyas,Dayton Flyers,146.5,134.5,YES,94.5,156.5,103-206,high,PENDING,,0,2025-11-27
01:00,Duke Blue Devils,Arkansas Razorbacks,157.5,145.5,NO,23.8,135.2,90-188,low,PENDING,,0,2025-11-27
01:00,Colorado St Rams,Wichita St Shockers,143.5,131.5,YES,92.8,161.1,86-241,high,PENDING,,0,2025-11-27
02:30,Minnesota Golden Gophers,Stanford Cardinal,142.5,130.5,YES,92.6,154.3,103-216,high,PENDING,,0,2025-11-27
03:30,Oklahoma St Cowboys,Northwestern Wildcats,159.5,148.5,NO,35.0,142.1,84-206,low,PENDING,,0,2025-11-27
