date,commence_time,away_team,home_team,standard_total,minimum_total,maximum_total,hit_rate,sim_mean,cushion,tier,tier_label,category,bet_size,qualified,mc_category
2025-11-29,2025-11-29T18:00:00Z,Boston Univ. Terriers,Northern Kentucky Norse,147.5,135.5,159.5,79.6,150.8,15.3,0,NO BET,NO,0%,False,NO
2025-11-29,2025-11-29T21:00:00Z,South Carolina St Bulldogs,Winthrop Eagles,159.5,147.5,171.5,78.4,161.9,14.4,0,NO BET,NO,0%,False,NO
2025-11-29,2025-11-29T19:00:00Z,Dartmouth Big Green,Saint Peter's Peacocks,143.5,131.5,155.5,78.2,157.6,26.1,0,NO BET,NO,0%,False,NO
2025-11-29,2025-11-29T18:00:00Z,VMI Keydets,UCF Knights,160.5,148.5,172.5,74.9,171.1,22.6,0,NO BET,NO,0%,False,NO
2025-11-29,2025-11-29T21:00:00Z,Howard Bison,Mt. St. Mary's Mountaineers,146.5,134.5,158.5,68.0,146.0,11.5,0,NO BET,NO,0%,False,NO
2025-11-29,2025-11-29T17:00:00Z,Bethune-Cookman Wildcats,Indiana Hoosiers,149.5,137.5,161.5,66.2,150.1,12.6,0,NO BET,NO,0%,False,NO
2025-11-29,2025-11-29T21:00:00Z,UMKC Kangaroos,Weber State Wildcats,152.5,140.5,164.5,56.0,143.0,2.5,0,NO BET,NO,0%,False,NO
2025-11-29,2025-11-29T22:00:00Z,Pepperdine Waves,CSU Fullerton Titans,160.5,148.5,172.5,43.3,145.1,-3.4,0,NO BET,NO,0%,False,NO
2025-11-29,2025-11-29T19:00:00Z,Morehead St Eagles,IUPUI Jaguars,183.5,171.5,195.5,1.5,135.9,-35.6,0,NO BET,NO,0%,False,NO
2025-11-29,2025-11-29T22:00:00Z,UC Riverside Highlanders,Utah Tech Trailblazers,145.5,133.5,157.5,98.8,163.9,30.4,1,🔒 TIER 1 - LOCK (100%),LOCK,Heavy (5%),True,YES
2025-11-29,2025-11-29T23:00:00Z,Buffalo Bulls,Canisius Golden Griffins,140.5,128.5,152.5,98.5,158.2,29.7,1,🔒 TIER 1 - LOCK (100%),LOCK,Heavy (5%),True,YES
2025-11-29,2025-11-30T03:00:00Z,Cal Baptist Lancers,Oregon St Beavers,137.5,125.5,149.5,97.2,155.7,30.2,2,✅ TIER 2 - SAFE (88.9%),SAFE,Normal (3%),True,YES
2025-11-29,2025-11-29T20:00:00Z,Western Michigan Broncos,Valparaiso Beacons,146.5,134.5,158.5,96.3,160.3,25.8,2,✅ TIER 2 - SAFE (88.9%),SAFE,Normal (3%),True,YES
2025-11-29,2025-11-29T19:00:00Z,Delaware St Hornets,UMBC Retrievers,140.5,128.5,152.5,95.8,165.0,36.5,2,✅ TIER 2 - SAFE (88.9%),SAFE,Normal (3%),True,YES
