game_id,date,away_team,away_team_seo,away_score,home_team,home_team_seo,home_score,total_points,home_win
6533962,2025-11-26,Boise St.,boise-st,102,Chaminade,chaminade,76,178,False
6504260,2025-11-26,Oral Roberts,oral-roberts,62,Rice,rice,81,143,True
6503571,2025-11-26,UIC,ill-chicago,74,Robert Morris,robert-morris,88,162,True
6504271,2025-11-26,Worcester St.,worcester-st,53,Holy Cross,holy-cross,77,130,True
6505349,2025-11-26,UNC Greensboro,unc-greensboro,71,Miami (OH),miami-oh,82,153,True
6505575,2025-11-26,St. Mary's (MD),st-marys-md,61,Howard,howard,115,176,True
6506033,2025-11-26,Omaha,neb-omaha,61,FIU,fiu,74,135,True
6534115,2025-11-26,Loyola Chicago,loyola-chicago,51,San Jose St.,san-jose-st,63,114,True
6505848,2025-11-26,VCU,vcu,78,South Fla.,south-fla,66,144,False
6533963,2025-11-26,Southern California,southern-california,88,Arizona St.,arizona-st,75,163,False
6534052,2025-11-26,Liberty,liberty,64,Bradley,bradley,74,138,True
6502162,2025-11-26,Southern Ind.,southern-ind,64,Valparaiso,valparaiso,56,120,False
6502690,2025-11-26,Texas Lutheran,texas-lutheran,55,UIW,uiw,117,172,True
6503544,2025-11-26,Georgia St.,georgia-st,58,New Mexico St.,new-mexico-st,77,135,True
6505703,2025-11-26,Jacksonville St.,jacksonville-st,43,North Dakota St.,north-dakota-st,56,99,True
6533926,2025-11-26,Notre Dame,notre-dame,56,Houston,houston,66,122,True
6501154,2025-11-26,Harvard,harvard,60,Boston College,boston-college,73,133,True
6502345,2025-11-26,Wofford,wofford,83,Northern Ky.,northern-ky,93,176,True
6502018,2025-11-26,App State,appalachian-st,67,Mercer,mercer,75,142,True
6501207,2025-11-26,Army West Point,army,81,FDU,fdu,73,154,False
6505292,2025-11-26,Misericordia,misericordia,70,Cornell,cornell,114,184,True
6501652,2025-11-26,UNLV,unlv,76,Alabama,alabama,115,191,True
6501495,2025-11-26,Grand Canyon,grand-canyon,68,Utah,utah,58,126,False
6501124,2025-11-26,Mercy,mercy,61,Bryant,bryant,87,148,True
6503757,2025-11-26,Bowling Green,bowling-green,81,VMI,vmi,48,129,False
6533937,2025-11-26,Saint Francis,st-francis-pa,64,Troy,troy,74,138,True
6502248,2025-11-26,Western Ky.,western-ky,78,Vanderbilt,vanderbilt,83,161,True
6534051,2025-11-26,Towson,towson,73,UC San Diego,uc-san-diego,87,160,True
6533938,2025-11-26,Belmont,belmont,87,Toledo,toledo,72,159,False
6534207,2025-11-26,UMass Lowell,umass-lowell,75,Stonehill,stonehill,64,139,False
6501229,2025-11-26,Brown,brown,59,New Hampshire,new-hampshire,47,106,False
6503764,2025-11-26,New Orleans,new-orleans,50,Texas Tech,texas-tech,82,132,True
6505090,2025-11-26,Columbia Int'l,columbia-international,50,Presbyterian,presbyterian,93,143,True
6533930,2025-11-26,Syracuse,syracuse,64,Iowa St.,iowa-st,95,159,True
6501699,2025-11-26,Buffalo,buffalo,73,Bucknell,bucknell,71,144,False
6503821,2025-11-26,Navy,navy,84,Gardner-Webb,gardner-webb,51,135,False
6505831,2025-11-26,Lipscomb,lipscomb,90,Marshall,marshall,67,157,False
6502852,2025-11-26,Indiana St.,indiana-st,73,Louisiana Tech,louisiana-tech,75,148,True
6504029,2025-11-26,South Dakota St.,south-dakota-st,52,UC Irvine,uc-irvine,64,116,True
6530535,2025-11-26,Biblical Stud. (TX),biblical-stud-tx,44,Texas Southern,texas-southern,102,146,True
6534054,2025-11-26,Rhode Island,rhode-island,90,Temple,temple,75,165,False
6502827,2025-11-26,Southeast Mo. St.,southeast-mo-st,72,Northern Ariz.,northern-ariz,79,151,True
6506320,2025-11-26,Southern Ill.,southern-ill,58,Memphis,memphis,74,132,True
6533932,2025-11-26,St. John's (NY),st-johns-ny,74,Auburn,auburn,85,159,True
6502812,2025-11-26,Denver,denver,59,Wyoming,wyoming,101,160,True
6501344,2025-11-26,Alabama St.,alabama-st,87,New Mexico,new-mexico,93,180,True
6501630,2025-11-26,Wichita St.,wichita-st,65,Saint Mary's (CA),st-marys-ca,70,135,True
6502777,2025-11-26,CSUN,cal-st-northridge,64,Idaho,idaho,78,142,True
6503344,2025-11-26,NJIT,njit,47,Louisville,louisville,104,151,True
6533928,2025-11-26,Gonzaga,gonzaga,61,Michigan,michigan,101,162,True
6533961,2025-11-26,NC State,north-carolina-st,97,Texas,texas,102,199,True
6534118,2025-11-26,Grand Canyon,grand-canyon,46,Iowa,iowa,59,105,True
6501674,2025-11-26,Long Beach St.,long-beach-st,73,Portland,portland,93,166,True
6534116,2025-11-26,UNI,uni,60,Tulsa,tulsa,63,123,True
6534117,2025-11-26,Pepperdine,pepperdine,53,Fresno St.,fresno-st,76,129,True
6501011,2025-11-26,Idaho St.,idaho-st,81,Sam Houston,sam-houston-st,84,165,True
6531337,2025-11-26,Central St. (OH),central-st-oh,80,Duquesne,duquesne,101,181,True
6504532,2025-11-26,Colorado St.,colorado-st,64,Virginia Tech,virginia-tech,66,130,True
6505961,2025-11-26,Wagner,wagner,103,Manhattan,manhattan,101,204,False
6534053,2025-11-26,Vermont,vermont,79,Princeton,princeton,74,153,False
6533964,2025-11-26,Seton Hall,seton-hall,75,Washington St.,washington-st,61,136,False
6502368,2025-11-26,Northern Colo.,northern-colo,71,Air Force,air-force,53,124,False
6505805,2025-11-26,Samford,samford,45,Utah Valley,utah-valley,89,134,True
6533931,2025-11-26,Baylor,baylor,91,San Diego St.,san-diego-st,81,172,False
6533927,2025-11-26,Kansas,kansas,81,Tennessee,tennessee,76,157,False
6501596,2025-11-26,Southeastern La.,southeastern-la,57,UNCW,unc-wilmington,70,127,True
6501759,2025-11-26,Columbia,columbia,106,Fairfield,fairfield,77,183,False
6501861,2025-11-26,Eastern Mich.,eastern-mich,64,Cincinnati,cincinnati,56,120,False
6502189,2025-11-26,Kennesaw St.,kennesaw-st,102,FGCU,fgcu,100,202,False
6502694,2025-11-26,Tennessee Tech,tennessee-tech,54,Kentucky,kentucky,104,158,True
6504789,2025-11-26,Houston Christian,houston-christian,72,The Citadel,citadel,65,137,False
6505032,2025-11-25,Waynesburg,waynesburg,56,Cleveland St.,cleveland-st,109,165,True
6506053,2025-11-25,Lehigh,lehigh,55,Marist,marist,78,133,True
6505263,2025-11-25,Washington Col.,washington-col,51,Loyola Maryland,loyola-maryland,101,152,True
6501336,2025-11-25,Murray St.,murray-st,96,George Washington,george-washington,95,191,False
6503266,2025-11-25,San Diego St.,san-diego-st,97,Oregon,oregon,80,177,False
6505603,2025-11-25,Wright St.,wright-st,79,Stetson,stetson,62,141,False
6504831,2025-11-25,Old Dominion,old-dominion,75,Villanova,villanova,89,164,True
6502010,2025-11-25,CSU Bakersfield,bakersfield,59,Florida St.,florida-st,89,148,True
6533959,2025-11-25,Pacific,pacific,68,Jacksonville,jacksonville,53,121,False
6503327,2025-11-25,Hawaii Pacific,hawaii-pacific,76,Hawaii,hawaii,88,164,True
6503715,2025-11-25,UNLV,unlv,67,Maryland,maryland,74,141,True
6533960,2025-11-25,Stony Brook,stony-brook,61,Bethune-Cookman,bethune-cookman,54,115,False
6534055,2025-11-25,Towson,towson,72,Liberty,liberty,69,141,False
6501506,2025-11-25,Notre Dame,notre-dame,68,Rutgers,rutgers,63,131,False
6504995,2025-11-25,Michigan St.,michigan-st,89,East Carolina,east-carolina,56,145,False
6505439,2025-11-25,Tenn. Southern,martin-methodist,60,North Ala.,north-ala,92,152,True
6504317,2025-11-25,Delaware,delaware,73,UNC Greensboro,unc-greensboro,60,133,False
6502560,2025-11-25,UNI,uni,72,Loyola Chicago,loyola-chicago,51,123,False
6505322,2025-11-25,Tulsa,tulsa,81,San Jose St.,san-jose-st,51,132,False
