home_team,away_team,actual_total,maximum_line,sim_mean,under_hit_rate,cushion,under_won,margin,prediction_error,game_date
Valparaiso,Southern Ind.,120,163.0395088748795,151.0395088748795,80.10000000000001,43.03950887487949,True,43.03950887487949,-31.039508874879488,2025-11-26
New Mexico St.,Georgia St.,135,161.93466977154137,149.93466977154137,81.3,26.934669771541365,True,26.934669771541365,-14.934669771541365,2025-11-26
Vanderbilt,Western Ky.,161,164.22410196322573,152.22410196322573,84.72,3.224101963225735,True,3.224101963225735,8.775898036774265,2025-11-26
Toledo,Belmont,159,174.31458079725522,162.31458079725522,86.92,15.314580797255218,True,15.314580797255218,-3.3145807972552177,2025-11-26
Iowa St.,Syracuse,159,169.50330266892436,157.50330266892436,84.8,10.503302668924363,True,10.503302668924363,1.4966973310756373,2025-11-26
Bucknell,Buffalo,144,168.70021189691906,156.70021189691906,81.38,24.700211896919058,True,24.700211896919058,-12.700211896919058,2025-11-26
Temple,Rhode Island,165,177.2613346238954,165.2613346238954,81.46,12.261334623895408,True,12.261334623895408,-0.26133462389540796,2025-11-26
Memphis,Southern Ill.,132,164.75188466612826,152.75188466612826,82.44,32.75188466612826,True,32.75188466612826,-20.751884666128262,2025-11-26
Wyoming,Denver,160,172.7153316007848,160.7153316007848,81.47999999999999,12.715331600784793,True,12.715331600784793,-0.7153316007847934,2025-11-26
Tulsa,UNI,123,182.42087647667412,170.42087647667412,83.64,59.420876476674124,True,59.420876476674124,-47.420876476674124,2025-11-26
Duquesne,Central St. (OH),181,159.44466117501526,147.44466117501526,80.54,-21.555338824984744,False,-21.555338824984744,33.555338824984744,2025-11-26
Washington St.,Seton Hall,136,171.42146716551065,159.42146716551065,80.96,35.42146716551065,True,35.42146716551065,-23.42146716551065,2025-11-26
Tennessee,Kansas,157,165.9261362264911,153.9261362264911,84.6,8.92613622649111,True,8.92613622649111,3.07386377350889,2025-11-26
UNCW,Southeastern La.,127,148.3493755656151,136.3493755656151,81.84,21.349375565615105,True,21.349375565615105,-9.349375565615105,2025-11-26
FGCU,Kennesaw St.,202,161.10594650459083,149.10594650459083,80.44,-40.89405349540917,False,-40.89405349540917,52.89405349540917,2025-11-26
East Carolina,Michigan St.,145,164.37434664430094,152.37434664430094,81.8,19.374346644300942,True,19.374346644300942,-7.374346644300942,2025-11-25
UNC Greensboro,Delaware,133,169.39217833683807,157.39217833683807,80.30000000000001,36.39217833683807,True,36.39217833683807,-24.39217833683807,2025-11-25
Iowa St.,Creighton,138,170.46059361378204,158.46059361378204,81.56,32.46059361378204,True,32.46059361378204,-20.460593613782038,2025-11-25
St. John's (NY),Baylor,177,178.01196077385103,166.01196077385103,83.04,1.0119607738510297,True,1.0119607738510297,10.98803922614897,2025-11-25
San Diego,California Baptist,137,175.43025089011323,163.43025089011323,86.98,38.43025089011323,True,38.43025089011323,-26.43025089011323,2025-11-25
Bradley,UC San Diego,164,169.28573840703987,157.28573840703987,80.60000000000001,5.285738407039872,True,5.285738407039872,6.714261592960128,2025-11-25
Houston,Tennessee,149,164.62287894308906,152.62287894308906,86.14,15.622878943089063,True,15.622878943089063,-3.622878943089063,2025-11-25
North Carolina,St. Bonaventure,155,167.56941520543032,155.56941520543032,86.8,12.569415205430317,True,12.569415205430317,-0.5694152054303174,2025-11-25
Kansas,Syracuse,131,166.94692639767786,154.94692639767786,85.08,35.946926397677856,True,35.946926397677856,-23.946926397677856,2025-11-25
Bellarmine,Houston Christian,143,178.26193065467507,166.26193065467507,81.92,35.26193065467507,True,35.26193065467507,-23.26193065467507,2025-11-25
California,UCLA,152,170.3222178349652,158.3222178349652,85.06,18.322217834965187,True,18.322217834965187,-6.322217834965187,2025-11-25
